video_id,label,split
02439,0,train
8PWU4L842V,1,train
37796,0,train
GVEQPLGFB9,1,train
19104,0,train
D1C8Y57QOW,1,train
51144,0,train
AGZZJSXPRA,1,train
NBEDT5AFKO,1,train
30752,0,train
KBYYMZ1NYS,1,train
mid_175_1111,1,train
55602,0,train
easy_191_0001,1,train
05553,0,train
ROSEY3YANE,1,train
D3U69WWT43,1,train
XMISNI05EG,1,train
CTAQ73OLOE,1,train
A7I45E2CKS,1,train
IUE9JI8372,1,train
26110,0,train
60657,0,train
08585,0,train
QQRDAEZ63J,1,train
9K6XJ0WTUX,1,train
KFBBEB2RVN,1,train
14264,0,train
4PDWYI4NXZ,1,train
MWQ6LHBWD6,1,train
9BK4SZJ2QX,1,train
57I98HZI59,1,train
39054,0,train
58985,0,train
WDVY67S1ZQ,1,train
66347,0,train
09553,0,train
GRMXCD963X,1,train
O3IMGWKTJM,1,train
DXRVOPAP38,1,train
29128,0,train
PYK1GI02Y2,1,train
RXMKTJ6WV1,1,train
ECDREX24AN,1,train
H0L20SBP97,1,train
31393,0,train
27890,0,train
9LD41TO7U7,1,train
3508XUZNPB,1,train
48689,0,train
MZQA86LSBR,1,train
Y2W5PH1PKT,1,train
3JDMH9VQM8,1,train
17092,0,train
31851,0,train
36921,0,train
60693,0,train
21374,0,train
A9X4C910FM,1,train
real_00025,0,train
JTYLPGALEH,1,train
99S2DIN1XX,1,train
CUG3LQC88C,1,train
ZER6Q4EUL1,1,train
ZD0UKR8VB9,1,train
08880,0,train
QWDUNA6Q5I,1,train
39430,0,train
L6D02MVQQS,1,train
08631,0,train
50760,0,train
42539,0,train
CD8P013J7T,1,train
67900,0,train
92OZ4P870L,1,train
67021,0,train
58799,0,train
69820,0,train
6WV74M54JN,1,train
57327,0,train
20882,0,train
JMCFBW01LV,1,train
HD9FFO5UOL,1,train
07271,0,train
05380,0,train
QSOAUWYPEF,1,train
ZHP208WEHT,1,train
42006,0,train
Y3952RTC5P,1,train
47439,0,train
36620,0,train
67960,0,train
0FHCECAHCI,1,train
19041,0,train
IRZUA2NZ8A,1,train
04518,0,train
JNL9S7I5PB,1,train
21764,0,train
40287,0,train
62183,0,train
8E2SZLKNQV,1,train
67990,0,train
OPVXYQ6FK5,1,train
6LH1RGKNNS,1,train
45313,0,train
Z1YTUSVSA7,1,train
63628,0,train
L9ORCXP8PJ,1,train
WAY0MEXQEB,1,train
60944,0,train
8T3VP9WBYX,1,train
32179,0,train
TF2V7PSYJ6,1,train
4LRBQSQR3I,1,train
65256,0,train
I5FPZV9S5V,1,train
OTA08UDMDF,1,train
38513,0,train
11208,0,train
W5X6INZ23Y,1,train
07071,0,train
75PMG02LTZ,1,train
31615,0,train
OPIDQD60WT,1,train
LSJZXM1O5S,1,train
40741,0,train
W34245NVDK,1,train
real_00391,0,train
F3Y89Q8L06,1,train
68288,0,train
52805,0,train
BGLRV9APLT,1,train
18361,0,train
49557,0,train
29068,0,train
RG3M0A88SL,1,train
ZZKYMLUMOP,1,train
23979,0,train
